"EPCI_EPT","VAR","loc","fra","b100","TYPO_FREI","LIB_VAR_SH","LIB_VAR_LG","Unite","Source"
"200000172","fam1",7.41186240258371,8.39564661886221,88.282210281835,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200000172","fam3",5.73595874586692,5.52734782524417,103.774159456186,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200000172","emp2",35.84,29.81,120.228111372023,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200000172","for2",49.0014629678637,48.5157951419143,101.001050945427,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200000172","equ1",44.3506346277902,40.7,108.969618250099,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200000172","equ2",15.2220286020124,20.0468435617419,75.9322960501505,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200000172","equ3",20.4067750169402,26.3159246878169,77.5453466257547,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200000438","fam1",5.81947505119396,8.39564661886221,69.3153882646698,"FAVP","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200000438","fam3",7.17653045072348,5.52734782524417,129.836780271856,"FAVP","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200000438","emp2",38.72,29.81,129.889298892989,"FAVP","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200000438","for2",53.2735836416586,48.5157951419143,109.806679424355,"FAVP","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200000438","equ1",8.8560886539377,40.7,21.7594315821565,"FAVP","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200000438","equ2",14.8708002248358,20.0468435617419,74.1802577499822,"FAVP","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200000438","equ3",28.2746990984921,26.3159246878169,107.443304515847,"FAVP","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200000545","fam1",10.0441301687571,8.39564661886221,119.634980183555,"DEGP","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200000545","fam3",8.11308043046319,5.52734782524417,146.78071087565,"DEGP","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200000545","emp2",37.64,29.81,126.266353572627,"DEGP","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200000545","for2",67.5901473048455,48.5157951419143,139.315757078981,"DEGP","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200000545","equ1",46.1598419759068,40.7,113.414845149648,"DEGP","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200000545","equ2",12.3733344671073,20.0468435617419,61.7221081663004,"DEGP","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200000545","equ3",44.3539930945037,26.3159246878169,168.544307755363,"DEGP","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200000628","fam1",6.82639806994847,8.39564661886221,81.3087827519067,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200000628","fam3",5.98115341671432,5.52734782524417,108.210186979686,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200000628","emp2",38.42,29.81,128.882925192888,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200000628","for2",62.0849985401717,48.5157951419143,127.968630336916,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200000628","equ1",50.4064090403932,40.7,123.848670860917,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200000628","equ2",15.2913508636343,20.0468435617419,76.2780974298464,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200000628","equ3",24.998593857292,26.3159246878169,94.9941685646534,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200000800","fam1",5.83186556039794,8.39564661886221,69.462970812703,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200000800","fam3",4.42805715657048,5.52734782524417,80.1117877247913,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200000800","emp2",29.86,29.81,100.167728950017,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200000800","for2",58.0894177071841,48.5157951419143,119.733001463268,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200000800","equ1",NA,NA,NA,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200000800","equ2",26.491264413165,20.0468435617419,132.146810701521,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200000800","equ3",30.5081859052445,26.3159246878169,115.930510773077,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200000925","fam1",6.7776971081895,8.39564661886221,80.7287087686883,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200000925","fam3",5.38536270238337,5.52734782524417,97.4312251128409,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200000925","emp2",45,29.81,150.956055015096,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200000925","for2",48.9585588177795,48.5157951419143,100.912617580666,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200000925","equ1",NA,NA,NA,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200000925","equ2",21.107910491185,20.0468435617419,105.292937644648,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200000925","equ3",21.8132841712186,26.3159246878169,82.8900539501742,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200000933","fam1",6.12600209598476,8.39564661886221,72.9664119285546,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200000933","fam3",3.45031131033393,5.52734782524417,62.4225472943077,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200000933","emp2",36.2,29.81,121.435759812144,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200000933","for2",64.9664732174923,48.5157951419143,133.907880984858,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200000933","equ1",NA,NA,NA,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
