"EPCI_EPT","TYPO_IPCE","TYPO_INEG2","TYPO_FREI"
"200000172","FAV","Q3","MOY"
"200000438","FAVP","Q4","DEG"
"200000545","DEGP","Q5","DEGP"
"200000628","DEGP","Q5","DEG"
"200000800","FAV","Q1","MOY"
"200000925","FAVP","Q3","MOY"
"200000933","MOY","Q3","DEG"
"200004802","MOY","Q3","FAV"
"200005932","FAVP","Q2","FAV"
"200005957","DEG","Q5","DEGP"
"200006682","FAV","Q1","FAV"
"200006716","DEG","Q4","DEGP"
"200006930","DEG","Q2","DEG"
"200006971","FAV","Q3","MOY"
"200007052","MOY","Q4","DEG"
"200007177","DEG","Q5","DEGP"
"200010650","MOY","Q3","FAV"
"200010700","DEG","Q5","DEG"
"200011773","DEG","Q4","MOY"
"200011781","MOY","Q5","DEG"
"200013050","FAVP","Q4","FAV"
"200015162","DEG","Q4","DEGP"
"200016905","MOY","Q2","MOY"
"200017341","DEGP","Q4","DEGP"
"200017846","MOY","Q2","DEGP"
"200018083","MOY","Q5","DEG"
"200018166","FAVP","Q3","FAVP"
"200018406","DEG","Q2","MOY"
"200018521","MOY","Q3","MOY"
"200018653","DEG","Q1","MOY"
"200022986","FAVP","Q3","FAV"
"200023075","FAV","Q4","FAV"
"200023125","FAVP","Q1","DEG"
"200023240","MOY","Q3","DEGP"
"200023299","FAV","Q1","FAV"
"200023307","DEG","Q1","MOY"
"200023372","FAVP","Q3","FAVP"
"200023414","MOY","Q1","MOY"
"200023620","FAVP","Q3","MOY"
"200023737","MOY","Q2","MOY"
"200023778","MOY","Q3","DEG"
"200023794","DEG","Q4","DEG"
"200023919","MOY","Q2","DEGP"
"200026573","MOY","Q4","MOY"
"200027027","FAV","Q3","FAV"
"200027076","MOY","Q2","MOY"
"200027100","MOY","Q2","MOY"
"200027183","DEGP","Q2","DEG"
"200027217","MOY","Q1","MOY"
"200027308","MOY","Q5","DEG"
"200027548","DEGP","Q5","DEGP"
"200029734","DEG","Q5","FAV"
"200029999","MOY","Q2","MOY"
"200030195","MOY","Q2","MOY"
"200030385","MOY","Q1","MOY"
"200030435","MOY","Q3","DEGP"
"200030526","FAVP","Q3","DEG"
"200030633","DEGP","Q4","DEGP"
"200030658","FAVP","Q2","FAV"
"200030674","DEG","Q4","MOY"
"200032514","MOY","Q4","DEG"
"200033025","MOY","Q2","FAV"
"200033090","FAVP","Q1","DEG"
"200033116","MOY","Q4","MOY"
"200033173","FAVP","Q2","MOY"
"200033181","FAV","Q2","MOY"
"200033298","FAV","Q2","DEG"
"200033579","MOY","Q2","MOY"
"200033827","DEGP","Q5","DEGP"
"200071157","MOY","Q3","FAV"
"200034023","FAV","Q3","DEG"
"200034031","FAV","Q4","MOY"
"200034049","MOY","Q4","DEG"
"200034056","FAV","Q2","MOY"
"200034064","MOY","Q2","MOY"
"200034098","FAVP","Q3","FAV"
"200034130","FAVP","Q3","FAV"
"200034197","DEG","Q4","DEG"
"200034205","DEGP","Q5","DEGP"
"200034270","FAV","Q2","FAV"
"200034379","MOY","Q4","DEG"
"200034411","DEG","Q2","MOY"
"200034601","MOY","Q2","DEGP"
"200034635","FAVP","Q1","FAVP"
"200034692","DEG","Q5","MOY"
"200034700","DEG","Q3","MOY"
"200034718","DEG","Q5","DEG"
"200034726","MOY","Q2","MOY"
"200034825","FAV","Q2","MOY"
"200034833","DEG","Q3","DEG"
"200034874","MOY","Q5","DEGP"
"200034882","FAVP","Q2","FAV"
"200034957","FAVP","Q2","FAV"
"200035087","MOY","Q4","MOY"
"200035103","FAVP","Q1","DEG"
"200035111","MOY","Q2","MOY"
"200035129","DEGP","Q5","DEGP"
"200035137","FAV","Q3","DEG"
"200035202","FAV","Q4","FAV"
"200035319","MOY","Q3","MOY"
"200035327","MOY","Q4","DEG"
"200035442","MOY","Q3","DEG"
"200035533","MOY","Q2","FAV"
"200035541","MOY","Q4","DEG"
"200035632","MOY","Q1","DEGP"
"200035707","MOY","Q4","MOY"
"200035715","DEGP","Q2","MOY"
"200035723","MOY","Q5","MOY"
"200035731","MOY","Q3","FAV"
"200035756","MOY","Q3","MOY"
"200035764","FAVP","Q1","DEG"
"200035772","FAVP","Q1","FAV"
"200035814","MOY","Q3","DEG"
"200035848","MOY","Q2","DEG"
"200035855","DEG","Q5","DEGP"
"200035863","DEGP","Q4","DEG"
"200035970","FAVP","Q1","MOY"
"200036069","FAV","Q1","FAVP"
"200036077","DEG","Q3","MOY"
"200036135","MOY","Q1","FAV"
"200036150","DEG","Q5","DEG"
"200036465","MOY","Q4","MOY"
"200036473","MOY","Q2","DEG"
"200036499","FAV","Q3","DEGP"
"200036523","MOY","Q2","DEG"
"200036549","DEG","Q4","MOY"
"200037059","DEGP","Q5","MOY"
"200037133","MOY","Q3","DEGP"
"200038958","MOY","Q2","DEG"
"200038990","FAVP","Q2","DEG"
"200039022","FAVP","Q2","DEG"
"200039055","FAVP","Q1","FAVP"
"200039063","FAVP","Q3","FAV"
"200039204","DEG","Q5","DEG"
"200039519","FAV","Q1","DEG"
"200039642","MOY","Q2","MOY"
"200039709","MOY","Q4","DEG"
"200039758","MOY","Q1","MOY"
"200039808","DEGP","Q3","MOY"
"200039824","DEG","Q4","DEGP"
"200039832","DEGP","Q3","DEG"
"200039857","MOY","Q2","MOY"
"200039865","MOY","Q2","FAV"
"200039907","FAVP","Q2","FAV"
"200039915","MOY","Q2","MOY"
"200039931","MOY","Q3","DEGP"
"200039949","FAV","Q4","MOY"
"200040038","FAV","Q3","MOY"
"200040095","MOY","Q3","DEG"
"200040111","FAV","Q3","MOY"
"200040137","DEG","Q3","FAV"
"200040178","FAV","Q4","FAV"
"200040202","DEG","Q5","MOY"
"200040210","DEG","Q4","DEG"
"200040244","MOY","Q4","MOY"
"200040251","FAV","Q3","DEGP"
"200040277","MOY","Q3","DEGP"
"200040293","FAV","Q2","FAVP"
"200040350","MOY","Q3","DEG"
"200040384","DEG","Q3","DEGP"
"200040392","MOY","Q1","MOY"
"200040400","DEG","Q3","DEGP"
"200040418","DEG","Q2","DEGP"
"200040426","MOY","Q5","DEG"
"200040442","DEG","Q5","MOY"
"200040459","DEG","Q5","DEG"
"200040475","FAV","Q2","DEG"
"200040491","MOY","Q4","DEGP"
"200040509","DEGP","Q2","MOY"
"200040558","MOY","Q2","MOY"
"200040566","FAV","Q3","DEG"
"200040574","FAVP","Q2","MOY"
"200040590","MOY","Q3","MOY"
"200040624","DEGP","Q4","DEG"
"200040657","FAV","Q3","MOY"
"200040681","DEG","Q4","DEG"
"200040715","MOY","Q2","FAV"
"200040764","DEG","Q4","MOY"
"200040772","FAV","Q2","DEG"
"200040798","FAVP","Q1","FAVP"
"200040814","FAVP","Q1","FAV"
"200040830","MOY","Q3","DEG"
"200040889","MOY","Q4","DEG"
"200040905","DEG","Q3","DEG"
"200040947","FAV","Q4","DEG"
"200040954","MOY","Q5","DEG"
"200041010","FAV","Q3","MOY"
"200041051","MOY","Q2","DEG"
"200041150","DEG","Q4","DEG"
"200041168","DEG","Q4","DEG"
"200041283","FAVP","Q4","DEG"
"200041317","FAV","Q1","FAVP"
"200041325","FAVP","Q3","FAV"
"200041333","MOY","Q3","MOY"
"200041366","FAVP","Q4","FAVP"
"200041416","FAV","Q5","DEG"
"200041440","MOY","Q3","DEG"
"200041465","MOY","Q5","DEGP"
"200041499","FAV","Q2","MOY"
"200041507","DEG","Q3","DEGP"
"200041515","FAV","Q3","DEGP"
"200041523","DEG","Q4","DEG"
"200041556","MOY","Q3","FAV"
"200041572","FAV","Q3","DEG"
"200041614","MOY","Q3","DEG"
"200041622","DEGP","Q4","DEGP"
"200041630","DEGP","Q3","DEG"
"200041689","DEG","Q4","DEGP"
"200041721","DEG","Q4","MOY"
"200041762","MOY","Q4","MOY"
"200041788","DEGP","Q1","DEG"
"200041853","FAVP","Q3","DEG"
"200041861","FAV","Q3","MOY"
"200041879","MOY","Q2","MOY"
"200041887","FAVP","Q4","DEG"
"200041960","FAVP","Q2","FAV"
"200041994","FAV","Q3","FAV"
"200042000","MOY","Q5","FAV"
"200042174","MOY","Q2","FAVP"
"200042182","MOY","Q4","MOY"
"200042190","DEGP","Q5","DEGP"
"200042372","MOY","Q3","FAV"
"200042414","MOY","Q4","MOY"
"200042463","DEG","Q3","DEGP"
"200042497","FAVP","Q2","MOY"
"200042604","FAV","Q1","FAVP"
"200042620","MOY","Q5","DEG"
"200042646","DEGP","Q2","DEG"
"200042653","DEG","Q4","DEG"
"200042703","DEG","Q5","DEG"
"200042729","MOY","Q3","DEG"
"200042901","DEGP","Q5","MOY"
"200042935","MOY","Q3","MOY"
"200042943","MOY","Q3","DEGP"
"200042992","MOY","Q5","DEG"
"200043016","DEG","Q4","MOY"
"200043065","MOY","Q2","FAV"
"200043081","MOY","Q4","FAV"
"200043123","FAV","Q2","FAVP"
"200043156","MOY","Q4","DEG"
"200043172","MOY","Q2","MOY"
"200043263","DEGP","Q4","DEGP"
"200043321","DEG","Q4","DEG"
"200043354","MOY","Q3","FAV"
"200043396","DEGP","Q5","DEGP"
"200043404","DEGP","Q5","DEGP"
"200043438","FAVP","Q2","MOY"
"200043495","DEGP","Q2","MOY"
"200043602","DEG","Q2","MOY"
"200043628","FAVP","Q4","FAV"
"200043693","MOY","Q5","DEG"
"200043776","DEGP","Q4","MOY"
"200043974","DEG","Q4","DEG"
"200043982","MOY","Q4","DEGP"
"200043990","FAVP","Q2","MOY"
"200044014","MOY","Q1","DEG"
"200044030","DEGP","Q5","DEGP"
"200044048","MOY","Q4","DEG"
"200044253","DEGP","Q5","MOY"
"200044394","DEG","Q3","DEGP"
"200044469","DEG","Q3","MOY"
"200044618","DEGP","Q4","DEGP"
"200044691","DEGP","Q2","DEGP"
"200046977","MOY","Q2","FAV"
"200048551","FAVP","Q2","DEGP"
"200049187","DEG","Q3","DEG"
"200049211","DEGP","Q2","DEGP"
"200049484","DEG","Q2","DEGP"
"200054807","MOY","Q2","MOY"
"200055481","FAV","Q2","DEG"
"200055655","MOY","Q3","DEG"
"200055887","FAVP","Q2","DEG"
"200056232","FAVP","Q1","FAV"
"200056380","FAVP","Q1","DEG"
"200057859","FAV","Q2","DEG"
"200057867","DEG","Q3","FAVP"
"200057875","DEG","Q2","FAVP"
"200057941","FAVP","Q1","FAV"
"200057958","FAV","Q1","MOY"
"200057966","FAVP","Q1","FAV"
"200057974","FAVP","Q1","FAVP"
"200057982","FAVP","Q1","FAVP"
"200057990","FAV","Q1","FAV"
"200058006","FAV","Q1","FAV"
"200058014","MOY","Q1","FAV"
"200058097","DEG","Q4","MOY"
"200058360","FAVP","Q2","MOY"
"200058477","FAV","Q1","DEG"
"200058485","FAV","Q1","DEG"
"200058519","FAVP","Q2","MOY"
"200058782","FAV","Q2","FAV"
"200058790","MOY","Q1","FAV"
"200059228","MOY","Q2","DEG"
"200059392","FAV","Q4","DEG"
"200059400","MOY","Q2","FAV"
"200059889","FAV","Q2","DEGP"
"200060010","FAVP","Q3","DEG"
"200065563","FAV","Q1","FAV"
"200065589","FAV","Q3","DEG"
"200065597","MOY","Q1","MOY"
"200065647","DEG","Q4","DEG"
"200065787","DEG","Q4","FAV"
"200065886","FAV","Q4","MOY"
